Timestamp PC,Voltage (V),Current (A),Label
2025-07-07 21:43:09.176,0.00,0.00000000,0
2025-07-07 21:43:09.450,0.00,0.00000000,0
2025-07-07 21:43:09.704,0.00,0.00000000,0
2025-07-07 21:43:09.980,0.00,0.00000000,0
2025-07-07 21:43:10.256,0.00,0.00000000,0
2025-07-07 21:43:10.498,0.00,0.00000000,0
2025-07-07 21:43:10.773,0.00,0.00000000,0
2025-07-07 21:43:10.990,0.00,0.00000000,0
2025-07-07 21:43:11.258,0.00,0.00000000,0
2025-07-07 21:43:11.476,0.00,0.00000000,0
2025-07-07 21:43:11.678,0.00,0.00000000,0
2025-07-07 21:43:11.996,0.00,0.00000000,0
2025-07-07 21:43:12.294,0.00,0.00000000,0
2025-07-07 21:43:12.544,0.00,0.00000000,0
2025-07-07 21:43:12.833,0.00,0.00000000,0
2025-07-07 21:43:13.107,0.00,0.00000000,0
2025-07-07 21:43:13.321,0.00,0.00000000,0
2025-07-07 21:43:13.626,0.00,0.00000000,0
2025-07-07 21:43:13.838,0.00,0.00000000,0
2025-07-07 21:43:14.041,0.00,0.00000000,0
2025-07-07 21:43:14.301,0.00,0.00000000,0
2025-07-07 21:43:14.616,0.00,0.00000000,0
2025-07-07 21:43:14.837,0.00,0.00000000,0
2025-07-07 21:43:15.136,0.00,0.00000000,0
2025-07-07 21:43:15.352,0.00,0.00000000,0
2025-07-07 21:43:15.623,0.00,0.00000000,0
2025-07-07 21:43:15.942,0.00,0.00000000,0
2025-07-07 21:43:16.259,0.00,0.00000000,0
2025-07-07 21:43:16.566,0.00,0.00000000,0
2025-07-07 21:43:16.789,0.00,0.00000000,0
2025-07-07 21:43:17.049,0.00,0.00000000,0
2025-07-07 21:43:17.334,0.00,0.00000000,0
2025-07-07 21:43:17.644,0.00,0.00000000,0
2025-07-07 21:43:17.925,0.00,0.00000000,0
2025-07-07 21:43:18.231,0.00,0.00000000,0
2025-07-07 21:43:18.504,0.00,0.00000000,0
2025-07-07 21:43:18.765,0.00,0.00000000,0
2025-07-07 21:43:18.971,0.00,0.00000000,0
2025-07-07 21:43:19.274,0.00,0.00000000,0
2025-07-07 21:43:19.547,0.00,0.00000000,0
2025-07-07 21:43:19.877,0.00,0.00000000,0
2025-07-07 21:43:20.080,0.00,0.00000000,0
2025-07-07 21:43:20.286,0.00,0.00000000,0
2025-07-07 21:43:20.495,0.00,0.00000000,0
2025-07-07 21:43:20.752,0.00,0.00000000,0
2025-07-07 21:43:20.961,0.00,0.00000000,0
2025-07-07 21:43:21.276,0.00,0.00000000,0
2025-07-07 21:43:21.599,0.00,0.00000000,0
2025-07-07 21:43:21.884,0.00,0.00000000,0
2025-07-07 21:43:22.213,0.00,0.00000000,0
2025-07-07 21:43:22.493,0.00,0.00000000,0
2025-07-07 21:43:22.748,0.00,0.00000000,0
2025-07-07 21:43:23.071,0.00,0.00000000,0
2025-07-07 21:43:23.389,0.00,0.00000000,0
2025-07-07 21:43:23.721,0.00,0.00000000,0
2025-07-07 21:43:23.941,0.00,0.00000000,0
2025-07-07 21:43:24.206,0.00,0.00000000,0
2025-07-07 21:43:24.537,0.00,0.00000000,0
2025-07-07 21:43:24.836,0.00,0.00000000,0
2025-07-07 21:43:25.167,0.00,0.00000000,0
2025-07-07 21:43:25.479,0.00,0.00000000,0
2025-07-07 21:43:25.680,0.00,0.00000000,0
2025-07-07 21:43:25.985,0.00,0.00000000,0
2025-07-07 21:43:26.221,0.00,0.00000000,0
2025-07-07 21:43:26.478,0.00,0.00000000,0
2025-07-07 21:43:26.683,0.00,0.00000000,0
2025-07-07 21:43:26.893,0.00,0.00000000,0
2025-07-07 21:43:27.172,0.00,0.00000000,0
2025-07-07 21:43:27.446,0.00,0.00000000,0
2025-07-07 21:43:27.663,0.00,0.00000000,0
2025-07-07 21:43:27.877,0.00,0.00000000,0
2025-07-07 21:43:28.123,0.00,0.00000000,0
2025-07-07 21:43:28.357,0.00,0.00000000,0
2025-07-07 21:43:28.646,0.00,0.00000000,0
2025-07-07 21:43:28.917,0.00,0.00000000,0
2025-07-07 21:43:29.213,0.00,0.00000000,0
2025-07-07 21:43:29.512,0.00,0.00000000,0
2025-07-07 21:43:29.771,0.00,0.00000000,0
2025-07-07 21:43:30.028,0.00,0.00000000,0
2025-07-07 21:43:30.304,0.00,0.00000000,0
2025-07-07 21:43:30.550,0.00,0.00000000,0
2025-07-07 21:43:30.806,0.00,0.00000000,0
2025-07-07 21:43:31.106,0.00,0.00000000,0
2025-07-07 21:43:31.396,0.00,0.00000000,0
2025-07-07 21:43:31.720,0.00,0.00000000,0
