Timestamp PC,Voltage (V),Current (A),Label
2025-07-09 04:27:29.001,298.91,0.05000000,1
2025-07-09 04:27:29.325,308.68,0.05000000,1
2025-07-09 04:27:29.589,302.63,0.05000000,1
2025-07-09 04:27:29.803,303.04,0.05000000,1
2025-07-09 04:27:30.129,294.21,0.06000000,1
2025-07-09 04:27:30.372,308.16,0.05000000,1
2025-07-09 04:27:30.587,306.94,0.05000000,1
2025-07-09 04:27:30.836,302.97,0.05000000,1
2025-07-09 04:27:31.070,299.51,0.05000000,1
2025-07-09 04:27:31.297,300.25,0.05000000,1
2025-07-09 04:27:31.542,296.93,0.05000000,1
2025-07-09 04:27:31.847,300.26,0.05000000,1
2025-07-09 04:27:32.112,300.24,0.05000000,1
2025-07-09 04:27:32.349,308.81,0.05000000,1
2025-07-09 04:27:32.629,300.34,0.05000000,1
2025-07-09 04:27:32.833,300.20,0.05000000,1
2025-07-09 04:27:33.152,296.66,0.05000000,1
2025-07-09 04:27:33.470,296.30,0.05000000,1
2025-07-09 04:27:33.766,302.63,0.05000000,1
2025-07-09 04:27:34.041,298.75,0.05000000,1
2025-07-09 04:27:34.273,302.66,0.05000000,1
2025-07-09 04:27:34.474,308.57,0.05000000,1
2025-07-09 04:27:34.761,302.88,0.05000000,1
2025-07-09 04:27:34.963,308.44,0.05000000,1
2025-07-09 04:27:35.269,294.56,0.05000000,1
2025-07-09 04:27:35.557,296.77,0.05000000,1
2025-07-09 04:27:35.757,300.14,0.05000000,1
2025-07-09 04:27:35.989,308.17,0.05000000,1
2025-07-09 04:27:36.308,299.73,0.05000000,1
2025-07-09 04:27:36.510,302.27,0.05000000,1
2025-07-09 04:27:36.771,306.45,0.05000000,1
2025-07-09 04:27:36.982,299.98,0.05000000,1
2025-07-09 04:27:37.196,302.67,0.05000000,1
2025-07-09 04:27:37.455,298.20,0.06000000,1
2025-07-09 04:27:37.763,306.25,0.05000000,1
2025-07-09 04:27:37.986,308.86,0.04000000,1
2025-07-09 04:27:38.223,296.31,0.05000000,1
2025-07-09 04:27:38.475,302.51,0.05000000,1
2025-07-09 04:27:38.779,306.17,0.05000000,1
2025-07-09 04:27:39.073,298.99,0.04000000,1
2025-07-09 04:27:39.348,308.63,0.05000000,1
2025-07-09 04:27:39.598,302.85,0.05000000,1
2025-07-09 04:27:39.925,302.82,0.05000000,1
2025-07-09 04:27:40.252,299.75,0.05000000,1
2025-07-09 04:27:40.510,306.87,0.05000000,1
2025-07-09 04:27:40.742,302.41,0.05000000,1
2025-07-09 04:27:41.029,299.74,0.05000000,1
2025-07-09 04:27:41.316,302.91,0.05000000,1
2025-07-09 04:27:41.633,298.72,0.05000000,1
2025-07-09 04:27:41.847,293.98,0.04000000,1
2025-07-09 04:27:42.075,294.78,0.05000000,1
2025-07-09 04:27:42.279,308.91,0.05000000,1
2025-07-09 04:27:42.499,299.63,0.05000000,1
2025-07-09 04:27:42.782,306.84,0.05000000,1
2025-07-09 04:27:43.038,299.51,0.05000000,1
2025-07-09 04:27:43.346,301.43,0.05000000,1
2025-07-09 04:27:43.547,309.14,0.05000000,1
2025-07-09 04:27:43.878,299.11,0.05000000,1
2025-07-09 04:27:44.182,299.49,0.05000000,1
2025-07-09 04:27:44.513,306.21,0.05000000,1
2025-07-09 04:27:44.741,306.68,0.05000000,1
2025-07-09 04:27:45.045,296.28,0.04000000,1
2025-07-09 04:27:45.276,296.98,0.05000000,1
2025-07-09 04:27:45.515,302.31,0.05000000,1
2025-07-09 04:27:45.792,302.34,0.05000000,1
2025-07-09 04:27:46.041,299.83,0.05000000,1
2025-07-09 04:27:46.347,299.85,0.05000000,1
