Timestamp PC,Voltage (V),Current (A),Label
2025-07-09 05:00:09.377,299.57,0.05000000,1
2025-07-09 05:00:09.606,299.55,0.05000000,1
2025-07-09 05:00:09.937,299.58,0.05000000,1
2025-07-09 05:00:10.218,300.02,0.05000000,1
2025-07-09 05:00:10.526,300.21,0.05000000,1
2025-07-09 05:00:10.820,302.54,0.05000000,1
2025-07-09 05:00:11.130,302.41,0.04000000,1
2025-07-09 05:00:11.344,300.26,0.05000000,1
2025-07-09 05:00:11.603,300.35,0.05000000,1
2025-07-09 05:00:11.867,306.82,0.05000000,1
2025-07-09 05:00:12.159,300.25,0.04000000,1
2025-07-09 05:00:12.427,296.66,0.05000000,1
2025-07-09 05:00:12.708,294.45,0.05000000,1
2025-07-09 05:00:13.001,302.66,0.05000000,1
2025-07-09 05:00:13.236,308.99,0.05000000,1
2025-07-09 05:00:13.490,302.37,0.05000000,1
2025-07-09 05:00:13.816,302.30,0.05000000,1
2025-07-09 05:00:14.130,299.64,0.05000000,1
2025-07-09 05:00:14.377,300.26,0.05000000,1
2025-07-09 05:00:14.684,308.67,0.05000000,1
2025-07-09 05:00:14.888,300.01,0.05000000,1
2025-07-09 05:00:15.140,300.92,0.05000000,1
2025-07-09 05:00:15.421,299.38,0.05000000,1
2025-07-09 05:00:15.678,306.29,0.05000000,1
2025-07-09 05:00:15.977,308.67,0.04000000,1
2025-07-09 05:00:16.242,308.66,0.05000000,1
2025-07-09 05:00:16.568,306.32,0.05000000,1
2025-07-09 05:00:16.773,306.25,0.04000000,1
2025-07-09 05:00:17.004,302.97,0.05000000,1
2025-07-09 05:00:17.267,299.23,0.05000000,1
2025-07-09 05:00:17.477,300.33,0.05000000,1
2025-07-09 05:00:17.744,297.15,0.05000000,1
2025-07-09 05:00:18.042,306.90,0.05000000,1
2025-07-09 05:00:18.298,300.91,0.05000000,1
2025-07-09 05:00:18.630,306.93,0.05000000,1
2025-07-09 05:00:18.907,308.32,0.05000000,1
2025-07-09 05:00:19.151,302.25,0.05000000,1
2025-07-09 05:00:19.375,296.79,0.05000000,1
2025-07-09 05:00:19.663,299.75,0.05000000,1
2025-07-09 05:00:19.947,296.69,0.05000000,1
2025-07-09 05:00:20.157,296.63,0.05000000,1
2025-07-09 05:00:20.437,308.75,0.05000000,1
2025-07-09 05:00:20.751,309.12,0.05000000,1
2025-07-09 05:00:21.000,298.92,0.05000000,1
2025-07-09 05:00:21.292,300.10,0.04000000,1
2025-07-09 05:00:21.546,299.52,0.06000000,1
2025-07-09 05:00:21.874,308.42,0.05000000,1
2025-07-09 05:00:22.087,302.53,0.05000000,1
2025-07-09 05:00:22.370,299.78,0.05000000,1
2025-07-09 05:00:22.581,300.01,0.05000000,1
2025-07-09 05:00:22.799,296.94,0.06000000,1
2025-07-09 05:00:23.130,293.83,0.05000000,1
2025-07-09 05:00:23.444,302.77,0.05000000,1
2025-07-09 05:00:23.753,300.23,0.04000000,1
2025-07-09 05:00:23.995,302.71,0.05000000,1
2025-07-09 05:00:24.199,308.49,0.05000000,1
2025-07-09 05:00:24.439,302.40,0.05000000,1
2025-07-09 05:00:24.648,302.72,0.05000000,1
2025-07-09 05:00:24.887,300.11,0.05000000,1
2025-07-09 05:00:25.189,293.96,0.05000000,1
2025-07-09 05:00:25.497,299.76,0.05000000,1
2025-07-09 05:00:25.705,298.75,0.05000000,1
2025-07-09 05:00:26.013,303.10,0.05000000,1
2025-07-09 05:00:26.231,294.27,0.05000000,1
2025-07-09 05:00:26.560,308.78,0.05000000,1
2025-07-09 05:00:26.767,294.18,0.05000000,1
2025-07-09 05:00:26.982,306.86,0.05000000,1
2025-07-09 05:00:27.292,300.31,0.05000000,1
2025-07-09 05:00:27.502,299.71,0.05000000,1
2025-07-09 05:00:27.816,308.53,0.05000000,1
2025-07-09 05:00:28.112,306.10,0.05000000,1
2025-07-09 05:00:28.400,299.16,0.05000000,1
2025-07-09 05:00:28.694,300.28,0.05000000,1
2025-07-09 05:00:28.926,306.11,0.05000000,1
2025-07-09 05:00:29.236,300.03,0.05000000,1
2025-07-09 05:00:29.479,294.27,0.05000000,1
2025-07-09 05:00:29.735,300.07,0.05000000,1
2025-07-09 05:00:30.054,300.39,0.05000000,1
2025-07-09 05:00:30.337,308.66,0.05000000,1
2025-07-09 05:00:30.575,298.43,0.05000000,1
2025-07-09 05:00:30.908,305.99,0.05000000,1
2025-07-09 05:00:31.109,306.06,0.05000000,1
2025-07-09 05:00:31.415,298.69,0.05000000,1
2025-07-09 05:00:31.641,298.59,0.05000000,1
2025-07-09 05:00:31.886,298.97,0.06000000,1
2025-07-09 05:00:32.219,297.06,0.04000000,1
2025-07-09 05:00:32.472,300.13,0.05000000,1
2025-07-09 05:00:32.693,302.84,0.05000000,1
2025-07-09 05:00:33.002,309.14,0.05000000,1
2025-07-09 05:00:33.232,306.08,0.05000000,1
2025-07-09 05:00:33.457,300.26,0.05000000,1
2025-07-09 05:00:33.752,300.13,0.05000000,1
2025-07-09 05:00:34.083,296.54,0.05000000,1
2025-07-09 05:00:34.385,300.33,0.06000000,1
2025-07-09 05:00:34.596,300.17,0.05000000,1
2025-07-09 05:00:34.879,299.08,0.05000000,1
2025-07-09 05:00:35.121,308.99,0.05000000,1
2025-07-09 05:00:35.395,299.96,0.05000000,1
2025-07-09 05:00:35.702,299.61,0.05000000,1
2025-07-09 05:00:35.916,300.07,0.04000000,1
2025-07-09 05:00:36.123,300.24,0.05000000,1
2025-07-09 05:00:36.403,300.19,0.05000000,1
2025-07-09 05:00:36.636,299.85,0.05000000,1
2025-07-09 05:00:36.879,296.75,0.04000000,1
2025-07-09 05:00:37.159,299.04,0.05000000,1
2025-07-09 05:00:37.463,301.35,0.05000000,1
2025-07-09 05:00:37.762,301.35,0.05000000,1
2025-07-09 05:00:38.040,299.21,0.05000000,1
2025-07-09 05:00:38.284,297.48,0.05000000,1
2025-07-09 05:00:38.581,299.93,0.05000000,1
2025-07-09 05:00:38.796,299.53,0.05000000,1
2025-07-09 05:00:39.097,299.78,0.05000000,1
2025-07-09 05:00:39.337,298.99,0.05000000,1
2025-07-09 05:00:39.593,306.67,0.05000000,1
2025-07-09 05:00:39.881,299.89,0.05000000,1
2025-07-09 05:00:40.095,299.54,0.05000000,1
2025-07-09 05:00:40.336,309.14,0.06000000,1
2025-07-09 05:00:40.660,301.79,0.05000000,1
2025-07-09 05:00:40.899,308.77,0.05000000,1
2025-07-09 05:00:41.104,293.82,0.05000000,1
2025-07-09 05:00:41.376,305.97,0.05000000,1
2025-07-09 05:00:41.684,300.33,0.05000000,1
2025-07-09 05:00:41.997,299.71,0.05000000,1
2025-07-09 05:00:42.229,306.19,0.05000000,1
2025-07-09 05:00:42.515,300.00,0.06000000,1
2025-07-09 05:00:42.843,299.12,0.04000000,1
2025-07-09 05:00:43.099,293.99,0.05000000,1
2025-07-09 05:00:43.370,298.62,0.05000000,1
2025-07-09 05:00:43.636,302.37,0.05000000,1
2025-07-09 05:00:43.839,299.72,0.05000000,1
2025-07-09 05:00:44.166,300.50,0.05000000,1
2025-07-09 05:00:44.418,302.64,0.05000000,1
2025-07-09 05:00:44.666,308.18,0.05000000,1
2025-07-09 05:00:44.923,299.83,0.05000000,1
2025-07-09 05:00:45.252,300.48,0.05000000,1
2025-07-09 05:00:45.469,299.37,0.05000000,1
2025-07-09 05:00:45.674,306.87,0.05000000,1
2025-07-09 05:00:45.969,300.14,0.05000000,1
2025-07-09 05:00:46.209,296.59,0.05000000,1
2025-07-09 05:00:46.521,306.04,0.05000000,1
2025-07-09 05:00:46.757,302.36,0.05000000,1
2025-07-09 05:00:46.968,308.70,0.05000000,1
2025-07-09 05:00:47.244,302.54,0.05000000,1
2025-07-09 05:00:47.576,299.66,0.05000000,1
2025-07-09 05:00:47.787,301.75,0.05000000,1
2025-07-09 05:00:48.007,306.37,0.05000000,1
2025-07-09 05:00:48.248,294.66,0.05000000,1
2025-07-09 05:00:48.468,308.57,0.05000000,1
2025-07-09 05:00:48.752,300.48,0.05000000,1
2025-07-09 05:00:48.988,308.97,0.05000000,1
2025-07-09 05:00:49.266,306.46,0.05000000,1
2025-07-09 05:00:49.498,301.55,0.05000000,1
2025-07-09 05:00:49.704,302.52,0.05000000,1
2025-07-09 05:00:50.024,302.80,0.05000000,1
2025-07-09 05:00:50.344,299.02,0.05000000,1
2025-07-09 05:00:50.677,308.89,0.05000000,1
2025-07-09 05:00:51.006,303.06,0.05000000,1
2025-07-09 05:00:51.283,299.01,0.06000000,1
2025-07-09 05:00:51.596,302.40,0.06000000,1
2025-07-09 05:00:51.896,294.15,0.05000000,1
2025-07-09 05:00:52.150,301.02,0.06000000,1
2025-07-09 05:00:52.435,302.60,0.05000000,1
2025-07-09 05:00:52.663,299.01,0.05000000,1
2025-07-09 05:00:52.935,303.06,0.05000000,1
2025-07-09 05:00:53.176,300.22,0.05000000,1
2025-07-09 05:00:53.402,302.35,0.05000000,1
2025-07-09 05:00:53.685,296.86,0.05000000,1
2025-07-09 05:00:53.911,294.06,0.05000000,1
2025-07-09 05:00:54.242,299.18,0.05000000,1
