Timestamp PC,Voltage (V),Current (A),Label
2025-07-09 05:43:41.098,302.21,0.05000000,1
2025-07-09 05:43:41.325,300.45,0.05000000,1
2025-07-09 05:43:41.530,299.58,0.05000000,1
2025-07-09 05:43:41.798,306.11,0.05000000,1
2025-07-09 05:43:42.056,308.83,0.05000000,1
2025-07-09 05:43:42.319,306.03,0.05000000,1
2025-07-09 05:43:42.612,294.50,0.05000000,1
2025-07-09 05:43:42.918,300.16,0.05000000,1
2025-07-09 05:43:43.218,296.54,0.05000000,1
2025-07-09 05:43:43.484,306.40,0.04000000,1
2025-07-09 05:43:43.806,298.87,0.05000000,1
2025-07-09 05:43:44.058,301.46,0.05000000,1
2025-07-09 05:43:44.317,299.30,0.05000000,1
2025-07-09 05:43:44.650,302.96,0.05000000,1
2025-07-09 05:43:44.979,302.25,0.05000000,1
2025-07-09 05:43:45.243,296.50,0.05000000,1
2025-07-09 05:43:45.459,298.61,0.05000000,1
2025-07-09 05:43:45.669,299.11,0.05000000,1
2025-07-09 05:43:45.874,299.73,0.05000000,1
2025-07-09 05:43:46.154,302.78,0.05000000,1
2025-07-09 05:43:46.449,302.87,0.04000000,1
2025-07-09 05:43:46.672,302.97,0.05000000,1
2025-07-09 05:43:46.910,300.03,0.05000000,1
2025-07-09 05:43:47.238,302.26,0.05000000,1
2025-07-09 05:43:47.452,299.91,0.05000000,1
2025-07-09 05:43:47.661,299.26,0.05000000,1
2025-07-09 05:43:47.930,308.58,0.05000000,1
2025-07-09 05:43:48.209,306.90,0.06000000,1
2025-07-09 05:43:48.426,306.01,0.05000000,1
2025-07-09 05:43:48.704,308.71,0.05000000,1
2025-07-09 05:43:48.977,294.42,0.05000000,1
2025-07-09 05:43:49.215,297.05,0.05000000,1
2025-07-09 05:43:49.495,299.13,0.05000000,1
2025-07-09 05:43:49.722,302.58,0.05000000,1
2025-07-09 05:43:50.025,306.06,0.05000000,1
2025-07-09 05:43:50.230,300.27,0.05000000,1
2025-07-09 05:43:50.556,299.70,0.04000000,1
2025-07-09 05:43:50.797,308.50,0.05000000,1
2025-07-09 05:43:51.119,299.69,0.06000000,1
2025-07-09 05:43:51.354,296.79,0.05000000,1
2025-07-09 05:43:51.640,299.60,0.05000000,1
2025-07-09 05:43:51.903,302.42,0.05000000,1
2025-07-09 05:43:52.157,296.30,0.05000000,1
2025-07-09 05:43:52.392,297.15,0.05000000,1
2025-07-09 05:43:52.721,302.97,0.05000000,1
2025-07-09 05:43:52.956,300.00,0.05000000,1
2025-07-09 05:43:53.265,300.18,0.05000000,1
2025-07-09 05:43:53.562,303.15,0.05000000,1
2025-07-09 05:43:53.834,308.31,0.05000000,1
2025-07-09 05:43:54.034,303.08,0.05000000,1
2025-07-09 05:43:54.268,309.13,0.05000000,1
2025-07-09 05:43:54.574,293.84,0.05000000,1
2025-07-09 05:43:54.853,299.96,0.05000000,1
2025-07-09 05:43:55.056,299.34,0.05000000,1
2025-07-09 05:43:55.344,300.12,0.05000000,1
2025-07-09 05:43:55.630,294.75,0.05000000,1
2025-07-09 05:43:55.849,299.54,0.05000000,1
2025-07-09 05:43:56.071,308.47,0.05000000,1
2025-07-09 05:43:56.390,302.29,0.05000000,1
2025-07-09 05:43:56.716,296.78,0.05000000,1
2025-07-09 05:43:57.027,306.11,0.05000000,1
2025-07-09 05:43:57.248,297.09,0.05000000,1
2025-07-09 05:43:57.495,302.52,0.05000000,1
2025-07-09 05:43:57.748,297.14,0.05000000,1
2025-07-09 05:43:57.996,303.03,0.05000000,1
2025-07-09 05:43:58.287,302.72,0.05000000,1
2025-07-09 05:43:58.558,308.91,0.05000000,1
2025-07-09 05:43:58.850,298.56,0.04000000,1
2025-07-09 05:43:59.075,294.55,0.05000000,1
2025-07-09 05:43:59.377,306.07,0.05000000,1
2025-07-09 05:43:59.657,300.49,0.05000000,1
2025-07-09 05:43:59.988,302.53,0.05000000,1
2025-07-09 05:44:00.262,302.69,0.05000000,1
2025-07-09 05:44:00.478,298.88,0.05000000,1
2025-07-09 05:44:00.742,300.45,0.05000000,1
2025-07-09 05:44:01.032,308.77,0.05000000,1
2025-07-09 05:44:01.356,302.51,0.05000000,1
2025-07-09 05:44:01.660,300.11,0.05000000,1
2025-07-09 05:44:01.978,299.84,0.05000000,1
2025-07-09 05:44:02.220,294.52,0.05000000,1
2025-07-09 05:44:02.513,301.61,0.05000000,1
2025-07-09 05:44:02.715,299.46,0.05000000,1
2025-07-09 05:44:03.012,302.99,0.05000000,1
2025-07-09 05:44:03.344,299.99,0.05000000,1
2025-07-09 05:44:03.654,302.21,0.05000000,1
2025-07-09 05:44:03.893,293.93,0.05000000,1
2025-07-09 05:44:04.128,293.82,0.05000000,1
2025-07-09 05:44:04.382,300.12,0.05000000,1
2025-07-09 05:44:04.588,308.31,0.05000000,1
2025-07-09 05:44:04.841,306.51,0.05000000,1
2025-07-09 05:44:05.049,299.13,0.06000000,1
2025-07-09 05:44:05.294,308.98,0.05000000,1
2025-07-09 05:44:05.506,297.00,0.05000000,1
2025-07-09 05:44:05.736,299.93,0.05000000,1
2025-07-09 05:44:06.067,309.02,0.05000000,1
2025-07-09 05:44:06.390,302.40,0.05000000,1
2025-07-09 05:44:06.676,302.37,0.05000000,1
2025-07-09 05:44:06.952,299.86,0.05000000,1
2025-07-09 05:44:07.188,306.38,0.05000000,1
2025-07-09 05:44:07.486,298.86,0.05000000,1
2025-07-09 05:44:07.791,294.76,0.05000000,1
2025-07-09 05:44:08.037,303.11,0.05000000,1
2025-07-09 05:44:08.345,300.45,0.05000000,1
2025-07-09 05:44:08.564,299.83,0.05000000,1
2025-07-09 05:44:08.851,300.44,0.05000000,1
2025-07-09 05:44:09.086,308.54,0.05000000,1
2025-07-09 05:44:09.349,294.29,0.05000000,1
2025-07-09 05:44:09.628,299.59,0.05000000,1
2025-07-09 05:44:09.930,302.45,0.04000000,1
2025-07-09 05:44:10.195,299.62,0.05000000,1
2025-07-09 05:44:10.412,300.32,0.05000000,1
2025-07-09 05:44:10.706,298.74,0.05000000,1
2025-07-09 05:44:10.967,299.14,0.05000000,1
2025-07-09 05:44:11.171,302.25,0.05000000,1
2025-07-09 05:44:11.494,300.19,0.05000000,1
2025-07-09 05:44:11.817,303.01,0.04000000,1
2025-07-09 05:44:12.049,299.07,0.05000000,1
2025-07-09 05:44:12.358,303.01,0.05000000,1
2025-07-09 05:44:12.593,298.61,0.05000000,1
2025-07-09 05:44:12.822,298.62,0.05000000,1
2025-07-09 05:44:13.073,308.66,0.05000000,1
2025-07-09 05:44:13.389,297.16,0.04000000,1
2025-07-09 05:44:13.636,293.84,0.05000000,1
2025-07-09 05:44:13.933,293.85,0.05000000,1
2025-07-09 05:44:14.256,294.68,0.05000000,1
2025-07-09 05:44:14.477,306.92,0.05000000,1
2025-07-09 05:44:14.698,308.67,0.05000000,1
2025-07-09 05:44:14.976,294.36,0.05000000,1
2025-07-09 05:44:15.264,296.85,0.05000000,1
2025-07-09 05:44:15.488,299.73,0.05000000,1
2025-07-09 05:44:15.751,294.42,0.05000000,1
2025-07-09 05:44:16.034,300.43,0.05000000,1
2025-07-09 05:44:16.365,299.75,0.05000000,1
2025-07-09 05:44:16.673,308.32,0.05000000,1
2025-07-09 05:44:16.880,309.10,0.05000000,1
2025-07-09 05:44:17.200,309.12,0.05000000,1
2025-07-09 05:44:17.522,297.08,0.05000000,1
2025-07-09 05:44:17.845,294.12,0.05000000,1
2025-07-09 05:44:18.143,294.15,0.05000000,1
2025-07-09 05:44:18.419,300.15,0.05000000,1
2025-07-09 05:44:18.719,296.21,0.05000000,1
2025-07-09 05:44:19.010,306.25,0.05000000,1
2025-07-09 05:44:19.321,302.87,0.05000000,1
2025-07-09 05:44:19.521,298.98,0.05000000,1
2025-07-09 05:44:19.728,296.41,0.05000000,1
2025-07-09 05:44:19.981,305.95,0.05000000,1
2025-07-09 05:44:20.314,302.75,0.05000000,1
2025-07-09 05:44:20.543,299.17,0.05000000,1
2025-07-09 05:44:20.850,300.35,0.05000000,1
2025-07-09 05:44:21.078,306.07,0.05000000,1
2025-07-09 05:44:21.322,300.41,0.05000000,1
2025-07-09 05:44:21.649,299.53,0.05000000,1
2025-07-09 05:44:21.923,297.61,0.05000000,1
2025-07-09 05:44:22.200,300.07,0.05000000,1
2025-07-09 05:44:22.498,300.00,0.05000000,1
2025-07-09 05:44:22.793,302.61,0.05000000,1
2025-07-09 05:44:22.998,306.49,0.05000000,1
2025-07-09 05:44:23.324,308.89,0.04000000,1
2025-07-09 05:44:23.618,300.05,0.05000000,1
2025-07-09 05:44:23.887,299.01,0.05000000,1
2025-07-09 05:44:24.197,297.08,0.05000000,1
2025-07-09 05:44:24.399,297.02,0.05000000,1
2025-07-09 05:44:24.702,294.64,0.05000000,1
2025-07-09 05:44:25.009,302.58,0.05000000,1
2025-07-09 05:44:25.267,293.81,0.06000000,1
2025-07-09 05:44:25.485,298.85,0.05000000,1
2025-07-09 05:44:25.804,302.37,0.05000000,1
2025-07-09 05:44:26.011,299.99,0.05000000,1
2025-07-09 05:44:26.326,296.90,0.05000000,1
2025-07-09 05:44:26.589,308.84,0.05000000,1
2025-07-09 05:44:26.908,296.27,0.05000000,1
2025-07-09 05:44:27.192,296.58,0.05000000,1
2025-07-09 05:44:27.439,302.89,0.05000000,1
2025-07-09 05:44:27.732,306.40,0.05000000,1
